meta_id,post_id,"meta_key","meta_value"
2,4,"_edit_last","1"
3,4,"_edit_lock","1459772814:1"
4,4,"_wp_page_template","default"
5,10,"_wp_attached_file","2016/03/about.jpg"
6,10,"_wp_attachment_metadata","a:5:{s:5:\"width\";i:1440;s:6:\"height\";i:401;s:4:\"file\";s:17:\"2016/03/about.jpg\";s:5:\"sizes\";a:5:{s:9:\"thumbnail\";a:4:{s:4:\"file\";s:17:\"about-150x150.jpg\";s:5:\"width\";i:150;s:6:\"height\";i:150;s:9:\"mime-type\";s:10:\"image/jpeg\";}s:6:\"medium\";a:4:{s:4:\"file\";s:16:\"about-300x84.jpg\";s:5:\"width\";i:300;s:6:\"height\";i:84;s:9:\"mime-type\";s:10:\"image/jpeg\";}s:12:\"medium_large\";a:4:{s:4:\"file\";s:17:\"about-768x214.jpg\";s:5:\"width\";i:768;s:6:\"height\";i:214;s:9:\"mime-type\";s:10:\"image/jpeg\";}s:5:\"large\";a:4:{s:4:\"file\";s:18:\"about-1024x285.jpg\";s:5:\"width\";i:1024;s:6:\"height\";i:285;s:9:\"mime-type\";s:10:\"image/jpeg\";}s:14:\"post-thumbnail\";a:4:{s:4:\"file\";s:17:\"about-825x401.jpg\";s:5:\"width\";i:825;s:6:\"height\";i:401;s:9:\"mime-type\";s:10:\"image/jpeg\";}}s:10:\"image_meta\";a:12:{s:8:\"aperture\";s:1:\"0\";s:6:\"credit\";s:0:\"\";s:6:\"camera\";s:0:\"\";s:7:\"caption\";s:0:\"\";s:17:\"created_timestamp\";s:1:\"0\";s:9:\"copyright\";s:0:\"\";s:12:\"focal_length\";s:1:\"0\";s:3:\"iso\";s:1:\"0\";s:13:\"shutter_speed\";s:1:\"0\";s:5:\"title\";s:0:\"\";s:11:\"orientation\";s:1:\"0\";s:8:\"keywords\";a:0:{}}}"
7,10,"_wp_attachment_image_alt","About VBYC"
8,4,"_thumbnail_id","10"
18,12,"_edit_last","1"
19,12,"_edit_lock","1460298476:1"
20,12,"_wp_page_template","template-basic.php"
21,14,"_edit_last","1"
22,14,"_wp_page_template","default"
23,14,"_edit_lock","1457097002:1"
27,18,"_edit_last","1"
28,18,"_wp_page_template","default"
29,18,"_edit_lock","1457096993:1"
30,20,"_edit_last","1"
31,20,"_wp_page_template","default"
32,20,"_edit_lock","1457096353:1"
33,22,"_edit_last","1"
34,22,"_wp_page_template","default"
35,22,"_edit_lock","1457096363:1"
36,24,"_edit_last","1"
37,24,"_wp_page_template","templates/sessions.php"
38,24,"_edit_lock","1460463212:1"
39,26,"_edit_last","1"
40,26,"_wp_page_template","templates/three-columns.php"
41,26,"_edit_lock","1460310663:1"
44,28,"_menu_item_type","post_type"
45,28,"_menu_item_menu_item_parent","33"
46,28,"_menu_item_object_id","26"
47,28,"_menu_item_object","page"
48,28,"_menu_item_target",""
49,28,"_menu_item_classes","a:1:{i:0;s:0:\"\";}"
50,28,"_menu_item_xfn",""
51,28,"_menu_item_url",""
62,30,"_menu_item_type","post_type"
63,30,"_menu_item_menu_item_parent","0"
64,30,"_menu_item_object_id","20"
65,30,"_menu_item_object","page"
66,30,"_menu_item_target",""
67,30,"_menu_item_classes","a:1:{i:0;s:0:\"\";}"
68,30,"_menu_item_xfn",""
69,30,"_menu_item_url",""
71,31,"_menu_item_type","post_type"
72,31,"_menu_item_menu_item_parent","0"
73,31,"_menu_item_object_id","18"
74,31,"_menu_item_object","page"
75,31,"_menu_item_target",""
76,31,"_menu_item_classes","a:1:{i:0;s:0:\"\";}"
77,31,"_menu_item_xfn",""
78,31,"_menu_item_url",""
80,32,"_menu_item_type","post_type"
81,32,"_menu_item_menu_item_parent","0"
82,32,"_menu_item_object_id","14"
83,32,"_menu_item_object","page"
84,32,"_menu_item_target",""
85,32,"_menu_item_classes","a:1:{i:0;s:0:\"\";}"
86,32,"_menu_item_xfn",""
87,32,"_menu_item_url",""
89,33,"_menu_item_type","post_type"
90,33,"_menu_item_menu_item_parent","0"
91,33,"_menu_item_object_id","12"
92,33,"_menu_item_object","page"
93,33,"_menu_item_target",""
94,33,"_menu_item_classes","a:1:{i:0;s:0:\"\";}"
95,33,"_menu_item_xfn",""
96,33,"_menu_item_url",""
98,34,"_menu_item_type","post_type"
99,34,"_menu_item_menu_item_parent","33"
100,34,"_menu_item_object_id","24"
101,34,"_menu_item_object","page"
102,34,"_menu_item_target",""
103,34,"_menu_item_classes","a:1:{i:0;s:0:\"\";}"
104,34,"_menu_item_xfn",""
105,34,"_menu_item_url",""
107,35,"_menu_item_type","post_type"
108,35,"_menu_item_menu_item_parent","0"
109,35,"_menu_item_object_id","4"
110,35,"_menu_item_object","page"
111,35,"_menu_item_target",""
112,35,"_menu_item_classes","a:1:{i:0;s:0:\"\";}"
113,35,"_menu_item_xfn",""
114,35,"_menu_item_url",""
116,36,"_edit_last","1"
117,36,"_edit_lock","1460298507:1"
118,36,"_wp_page_template","default"
119,38,"_edit_last","1"
120,38,"_edit_lock","1460298447:1"
121,38,"_wp_page_template","default"
122,40,"_edit_last","1"
123,40,"_wp_page_template","templates/timeline.php"
124,40,"_edit_lock","1460298722:1"
125,43,"_edit_last","1"
126,43,"_edit_lock","1458044674:1"
127,43,"_wp_page_template","default"
128,45,"_edit_last","1"
129,45,"_edit_lock","1457527455:1"
130,45,"_wp_page_template","default"
131,47,"_edit_last","1"
132,47,"_edit_lock","1460298232:1"
133,47,"_wp_page_template","templates/gallery.php"
134,49,"_edit_last","1"
135,49,"_edit_lock","1458926363:1"
136,49,"_wp_page_template","templates/image-fills-whole-page.php"
140,53,"_edit_last","1"
141,53,"_edit_lock","1457527525:1"
142,53,"_wp_page_template","default"
143,56,"_edit_last","1"
144,56,"_edit_lock","1459858590:1"
145,56,"_wp_page_template","templates/profile.php"
146,58,"_edit_last","1"
147,58,"_edit_lock","1457527556:1"
148,58,"_wp_page_template","default"
151,61,"_menu_item_type","post_type"
152,61,"_menu_item_menu_item_parent","33"
153,61,"_menu_item_object_id","36"
154,61,"_menu_item_object","page"
155,61,"_menu_item_target",""
156,61,"_menu_item_classes","a:1:{i:0;s:0:\"\";}"
157,61,"_menu_item_xfn",""
158,61,"_menu_item_url",""
160,62,"_menu_item_type","post_type"
161,62,"_menu_item_menu_item_parent","0"
162,62,"_menu_item_object_id","26"
163,62,"_menu_item_object","page"
164,62,"_menu_item_target",""
