object_id,term_taxonomy_id,term_order
1,1,0
10,5,0
28,2,0
30,2,0
31,2,0
32,2,0
33,2,0
34,2,0
35,2,0
61,2,0
63,2,0
64,2,0
65,2,0
66,2,0
67,2,0
68,2,0
70,2,0
72,2,0
73,2,0
74,2,0
112,9,0
113,9,0
114,9,0
115,9,0
134,3,0
135,3,0
136,3,0
137,3,0
138,3,0
139,2,0
191,6,0
193,6,0
194,6,0
195,6,0
196,6,0
197,6,0
198,6,0
199,6,0
200,6,0
201,6,0
202,6,0
203,6,0
204,6,0
205,6,0
206,6,0
207,6,0
208,6,0
209,6,0
210,6,0
211,6,0
212,6,0
213,6,0
214,6,0
215,6,0
216,6,0
217,6,0
218,6,0
219,6,0
221,6,0
223,7,0
254,4,0
255,4,0
256,4,0
257,4,0
258,4,0
259,4,0
260,4,0
261,4,0
262,4,0
263,4,0
264,4,0
265,4,0
266,4,0
267,4,0
268,4,0
269,4,0
270,4,0
271,4,0
272,4,0
273,4,0
274,4,0
276,1,0
277,11,0
279,1,0
280,11,0
286,1,0
287,11,0
296,11,0
298,3,0
302,1,0
304,1,0
306,1,0
308,1,0
310,1,0
312,1,0
314,1,0
316,1,0
318,1,0
320,1,0
327,12,0
329,12,0
412,13,0
416,13,0
425,13,0
426,13,0
427,13,0
428,13,0
436,13,0
446,13,0
454,13,0
456,13,0
